_time,src_ip,query_name,query_type,bytes_in,bytes_out
2025-08-01T10:00:00,192.168.1.50,ypvz0m5hrbwmzaz8ukjcdp45w.maliciousdomain.com,A,55,193
2025-08-01T10:00:05,192.168.1.50,a65r2ijs0p262t5kd44n3f48j.maliciousdomain.com,A,60,180
2025-08-01T10:00:10,192.168.1.50,5lwk0htxe0htvwbpa2cac65c0.maliciousdomain.com,A,50,189
2025-08-01T10:00:15,192.168.1.50,r0nhrfj1kl9oxb25ooh5eegmu.maliciousdomain.com,A,59,193
2025-08-01T10:00:20,192.168.1.50,azn90on2kwzjeiztaorjqmig8.maliciousdomain.com,A,60,187
2025-08-01T10:00:25,192.168.1.50,pjizjl7aby9cuzfc309vnth7c.maliciousdomain.com,A,59,185
2025-08-01T10:00:30,192.168.1.50,ag7ub50alqmp4zz3mgg6jw14h.maliciousdomain.com,A,51,199
2025-08-01T10:00:35,192.168.1.50,sbj70tpvwbxezaimg3urmxa0v.maliciousdomain.com,A,56,195
2025-08-01T10:00:40,192.168.1.50,sircw7nu2h6mv5crg16p5hfe6.maliciousdomain.com,A,53,185
2025-08-01T10:00:45,192.168.1.50,vas8muu9c7rw4h38r13gqomya.maliciousdomain.com,A,56,190
2025-08-01T10:00:50,192.168.1.50,h11cwwmkfsraw50zy3hgp9q3m.maliciousdomain.com,A,60,192
2025-08-01T10:00:55,192.168.1.50,u6p2n9uzg9hfkxz63d612u7hp.maliciousdomain.com,A,56,183
2025-08-01T10:01:00,192.168.1.50,ox0gd0k8fyi0acif8f509cj3q.maliciousdomain.com,A,52,189
2025-08-01T10:01:05,192.168.1.50,lmu0d9tpyj3kbzsb17bshcwuv.maliciousdomain.com,A,52,191
2025-08-01T10:01:10,192.168.1.50,mmwv6stcjmt5orx4uj6ebbl3c.maliciousdomain.com,A,50,180
2025-08-01T10:01:15,192.168.1.50,09v6aqp8zaoi0hsx7vm56mgmq.maliciousdomain.com,A,51,197
